point,east,north,zone,hemisphere,lat,lon,psf,grid_conv
Amity,NaN,NaN,56,South,nan,nan,nan,nan
Amity,543560.2423,6969912.132,56,South,-27.393415132,153.440589215,0.99962342,0.202717
Amity,543533.7463,6969930.51,56,South,-27.393250064,153.440320571,0.99962339,0.202593
Amity,543533.7463,6969930.51,56,South,-27.393250064,153.440320571,0.99962339,0.202593
Amity,543526.8578,6969933.88,56,South,-27.393219860,153.440250779,0.99962339,0.202560
Amity,543520.5886,6969937.594,56,South,-27.393186531,153.440187238,0.99962338,0.202531
Amity,543517.6727,6969938.957,56,South,-27.393174319,153.440157697,0.99962338,0.202517
Amity,543519.3855,6969938.086,56,South,-27.393182128,153.440175052,0.99962338,0.202525
Amity,543514.8382,6969940.876,56,South,-27.393157085,153.440128960,0.99962337,0.202504
Amity,543509.7306,6969943.932,56,South,-27.393129659,153.440077191,0.99962337,0.202480
Amity,543504.4868,6969945.588,56,South,-27.393114876,153.440024095,0.99962336,0.202455
Amity,543498.8128,6969949.067,56,South,-27.393083650,153.439966583,0.99962336,0.202429
Amity,543492.2045,6969951.365,56,South,-27.393063115,153.439899663,0.99962335,0.202398
Amity,543489.87,6969953.064,56,South,-27.393047851,153.439875991,0.99962335,0.202387
Amity,543498.9936,6969961.095,56,South,-27.392975057,153.439967982,0.99962336,0.202428
Amity,543495.966,6969964.181,56,South,-27.392947294,153.439937250,0.99962335,0.202414
Amity,543501.564,6969959.175,56,South,-27.392992309,153.439994048,0.99962336,0.202441
Amity,543506.8921,6969954.62,56,South,-27.393033260,153.440048100,0.99962336,0.202466
Amity,543512.0944,6969949.971,56,South,-27.393075065,153.440100883,0.99962337,0.202490
Amity,543514.3159,6969948.188,56,South,-27.393091091,153.440123416,0.99962337,0.202501
Amity,543519.9384,6969943.324,56,South,-27.393134822,153.440180457,0.99962338,0.202527
Amity,543520.8376,6969942.817,56,South,-27.393139371,153.440189570,0.99962338,0.202532
Amity,543526.5076,6969937.704,56,South,-27.393185349,153.440247100,0.99962339,0.202558
Amity,543531.51,6969933.364,56,South,-27.393224370,153.440297851,0.99962339,0.202582
Amity,543534.5016,6969930.911,56,South,-27.393246420,153.440328196,0.99962339,0.202596
Amity,543540.8369,6969937.572,56,South,-27.393186083,153.440392035,0.9996234,0.202625
Amity,543536.0923,6969940.34,56,South,-27.393161246,153.440343948,0.9996234,0.202603
Amity,543531.1041,6969942.583,56,South,-27.393141156,153.440293416,0.99962339,0.202579
Amity,543527.0805,6969945.133,56,South,-27.393118263,153.440252629,0.99962339,0.202560
Amity,543523.7509,6969947.889,56,South,-27.393093489,153.440218854,0.99962338,0.202545
