543515.464255,6969944.13064
543511.750954,6969946.14656
543506.450317,6969950.13593
543501.334996,6969954.16653
543496.349929,6969958.32427
543533.99654,6969930.29819
543529.278051,6969932.07146
543525.265771,6969934.23229
543520.627306,6969936.49125
543516.473523,6969938.46583
543512.701274,6969940.8049
543509.078137,6969942.77559
543504.898396,6969944.95442
543500.593492,6969947.13905
543495.579949,6969950.02605
543490.981153,6969952.40328
543487.833942,6969953.64269
543536.679322,6969932.51196
543535.580382,6969939.60237
543535.447432,6969943.27031
543534.916826,6969946.18115
543533.650079,6969951.98379
543533.29988,6969959.29804
543531.754384,6969962.27536
543531.693342,6969963.29314
543531.177305,6969965.46217
543530.977435,6969969.55945
543529.994382,6969975.83817
543529.383915,6969982.17408
543528.16312,6969988.08839
543528.109953,6969993.37532
543526.880853,6970000.05569
543526.373366,6970005.54711
543541.337876,6969936.91123
543535.756529,6969941.32828
543531.799162,6969944.8235
543525.903277,6969948.39623
543521.629605,6969952.35305
543515.877654,6969955.95868
543511.984014,6969958.8035
543508.554632,6969961.26194
543503.382294,6969965.38505
543497.079473,6969970.57643
543543.818683,6969945.7899
543536.419012,6969947.79118
543531.348013,6969949.36435
543526.019063,6969950.47732
543521.053698,6969952.06836
543516.385155,6969953.20078
543510.866094,6969954.9236
543505.60615,6969956.81938
543499.698837,6969957.73057
543493.807935,6969959.32563
543548.116457,6969952.78226
543541.533104,6969955.41455
543535.670064,6969958.57805
543530.346534,6969960.22757
543526.378152,6969961.33185
543520.50672,6969963.35168
543514.199774,6969965.39233
543509.031189,6969968.24234
543504.275345,6969972.17051
543499.865079,6969973.3899
543498.084654,6969974.5777
543548.187795,6969950.94968
543547.282662,6969948.8432
543545.756102,6969945.74745
543544.101073,6969941.78789
543542.89574,6969938.46701
543540.775507,6969935.57355
543537.908882,6969932.66674
543533.0062,6969929.80281
543528.234214,6969928.71476
543522.267465,6969928.32817
543515.770096,6969928.33108
543509.019593,6969929.31185
543501.654678,6969931.27758
543494.112122,6969933.76065
543488.222519,6969934.39634
543480.176146,6969937.24746
543483.616964,6969948.37698
543488.638697,6969956.13527
543493.046806,6969965.06062
543511.446401,6969940.65469
543511.177448,6969940.0213
543514.673126,6969940.06949
543514.650443,6969939.41011
543472.733658,6969965.38415
543471.232866,6969961.47902
543469.999186,6969956.67152
543469.003735,6969951.99395
NaN,NaN
543560.318638,6969912.11276
543549.379078,6969943.95673
543534.360611,6969930.57462
543529.180812,6969934.32117
543525.191652,6969937.13531
543521.489569,6969939.73727
543518.367901,6969942.16544
543516.901941,6969943.32753
