point,east,north,zone,hemisphere,lat,lon,psf,grid_conv
Amity,543483.0814,6969934.993,56,South,-27.393211209,153.439807975,0.99962334,0.202356
Amity,543477.938,6969935.307,56,South,-27.393208538,153.439755942,0.99962333,0.202332
Amity,543480.3243,6969941.669,56,South,-27.393151027,153.439779851,0.99962334,0.202343
Amity,543483.4542,6969947.376,56,South,-27.393099406,153.439811303,0.99962334,0.202357
Amity,543487.3857,6969952.737,56,South,-27.393050882,153.439850876,0.99962334,0.202375
Amity,543490.1593,6969958.419,56,South,-27.392999497,153.439878725,0.99962335,0.202388
Amity,543493.6992,6969964.809,56,South,-27.392941697,153.439914300,0.99962335,0.202404
Amity,543498.0944,6969971.345,56,South,-27.392882551,153.439958521,0.99962336,0.202423
Amity,543502.8733,6969976.911,56,South,-27.392832149,153.440006657,0.99962336,0.202445
Amity,543508.4943,6969982.174,56,South,-27.392784457,153.440063320,0.99962337,0.202471
Amity,543512.4073,6969988.176,56,South,-27.392730147,153.440102683,0.99962337,0.202489
Amity,543516.6776,6969993.653,56,South,-27.392680565,153.440145677,0.99962338,0.202508
Amity,543521.2335,6969999.329,56,South,-27.392629178,153.440191554,0.99962338,0.202529
Amity,543527.8149,6970005.511,56,South,-27.392573158,153.440257898,0.99962339,0.202559
Amity,543534.0289,6970011.017,56,South,-27.392523252,153.440320550,0.99962339,0.202588
Amity,543539.375,6970013.985,56,South,-27.392496287,153.440374515,0.9996234,0.202612
Amity,543544.8947,6970016.481,56,South,-27.392473578,153.440430253,0.99962341,0.202638
Amity,543550.7392,6970019.608,56,South,-27.392445161,153.440489254,0.99962341,0.202665
Amity,543555.7948,6970023.803,56,South,-27.392407128,153.440540237,0.99962342,0.202688
Amity,543502.0601,6969926.965,56,South,-27.393283079,153.440000217,0.99962336,0.202445
Amity,543560.3307,6969912.129,56,South,-27.393415156,153.440590110,0.99962342,0.202718
