point,east,north,zone,hemisphere,lat,lon,psf,grid_conv
Amity,NaN,NaN,56,South,nan,nan,nan,nan
Amity,543560.2336,6969912.134,56,South,-27.393415114,153.440589127,0.99962342,0.202717
Amity,543534.083,6969930.724,56,South,-27.393248122,153.440323969,0.99962339,0.202594
Amity,543527.9614,6969935.132,56,South,-27.393208522,153.440261896,0.99962339,0.202565
Amity,543523.3486,6969938.192,56,South,-27.393181044,153.440215132,0.99962338,0.202544
Amity,543521.8024,6969939.434,56,South,-27.393169881,153.440199449,0.99962338,0.202536
Amity,543517.6854,6969942.087,56,South,-27.393146062,153.440157714,0.99962338,0.202517
Amity,543509.6753,6969947.946,56,South,-27.393093423,153.440076489,0.99962337,0.202479
Amity,543502.0604,6969953.036,56,South,-27.393047715,153.439999288,0.99962336,0.202443
Amity,543533.7509,6969930.338,56,South,-27.393251617,153.440320624,0.99962339,0.202593
Amity,543527.4421,6969933.262,56,South,-27.393225421,153.440256711,0.99962339,0.202563
Amity,543520.9074,6969936.041,56,South,-27.393200541,153.440190518,0.99962338,0.202532
Amity,543514.5434,6969938.886,56,South,-27.393175060,153.440126049,0.99962337,0.202503
Amity,543507.3912,6969941.108,56,South,-27.393155228,153.440053631,0.99962337,0.202469
Amity,543499.5134,6969946.076,56,South,-27.393110630,153.439973776,0.99962336,0.202432
Amity,543536.5181,6969932.357,56,South,-27.393233301,153.440348540,0.9996234,0.202605
Amity,543535.5363,6969938.488,56,South,-27.393177983,153.440338390,0.9996234,0.202600
Amity,543534.5667,6969945.67,56,South,-27.393113176,153.440328327,0.99962339,0.202595
Amity,543533.3616,6969954.716,56,South,-27.393031549,153.440315815,0.99962339,0.202589
Amity,543532.5051,6969958.859,56,South,-27.392994174,153.440307004,0.99962339,0.202585
Amity,543532.008,6969963.66,56,South,-27.392950847,153.440301804,0.99962339,0.202582
Amity,543531.0009,6969969.89,56,South,-27.392894636,153.440291395,0.99962339,0.202577
Amity,543530.0247,6969976.939,56,South,-27.392831030,153.440281270,0.99962339,0.202572
Amity,543528.8251,6969987.911,56,South,-27.392732015,153.440268745,0.99962339,0.202565
Amity,543541.2843,6969937.193,56,South,-27.393189491,153.440396573,0.9996234,0.202627
Amity,543536.185,6969940.867,56,South,-27.393156485,153.440344866,0.9996234,0.202603
Amity,543532.4357,6969943.608,56,South,-27.393131860,153.440306847,0.99962339,0.202585
Amity,543526.6295,6969947.969,56,South,-27.393092675,153.440247966,0.99962339,0.202558
Amity,543522.1569,6969952.167,56,South,-27.393054919,153.440202579,0.99962338,0.202537
Amity,543514.5503,6969956.61,56,South,-27.393015051,153.440125486,0.99962337,0.202501
Amity,543508.9123,6969960.612,56,South,-27.392979101,153.440068319,0.99962337,0.202475
Amity,543545.6553,6969946.593,56,South,-27.393104490,153.440440446,0.99962341,0.202647
Amity,543541.4205,6969949.061,56,South,-27.393082344,153.440397526,0.9996234,0.202627
Amity,543536.7344,6969952.094,56,South,-27.393055112,153.440350022,0.9996234,0.202605
Amity,543532.3961,6969954.697,56,South,-27.393031751,153.440306050,0.99962339,0.202584
Amity,543529.399,6969957.408,56,South,-27.393007373,153.440275640,0.99962339,0.202570
Amity,543525.372,6969958.942,56,South,-27.392993653,153.440234855,0.99962338,0.202551
Amity,543520.8217,6969961.167,56,South,-27.392973711,153.440188753,0.99962338,0.202530
Amity,543512.6585,6969966.156,56,South,-27.392928932,153.440106010,0.99962337,0.202492
Amity,543548.2021,6969953.667,56,South,-27.393040546,153.440465952,0.99962341,0.202658
Amity,543543.3561,6969955.728,56,South,-27.393022094,153.440416865,0.9996234,0.202635
Amity,543539.6796,6969957.581,56,South,-27.393005483,153.440379614,0.9996234,0.202618
Amity,543535.3848,6969959.908,56,South,-27.392984612,153.440336092,0.9996234,0.202598
Amity,543530.1835,6969962.325,56,South,-27.392962958,153.440283399,0.99962339,0.202574
Amity,543527.9065,6969963.295,56,South,-27.392954274,153.440260334,0.99962339,0.202563
Amity,543523.8394,6969965.062,56,South,-27.392938451,153.440219135,0.99962338,0.202544
Amity,543519.07,6969967.553,56,South,-27.392916115,153.440170808,0.99962338,0.202521
Amity,543513.8022,6969970.068,56,South,-27.392893578,153.440117438,0.99962337,0.202497
Amity,543550.7973,6969960.388,56,South,-27.392979787,153.440491960,0.99962341,0.202670
Amity,543547.2094,6969962.668,56,South,-27.392959318,153.440455590,0.99962341,0.202653
Amity,543544.5528,6969964.375,56,South,-27.392943992,153.440428659,0.99962341,0.202640
Amity,543540.4362,6969967.067,56,South,-27.392919821,153.440386927,0.9996234,0.202621
Amity,543537.2099,6969968.888,56,South,-27.392903484,153.440354230,0.9996234,0.202606
Amity,543534.5603,6969971.319,56,South,-27.392881622,153.440327345,0.99962339,0.202593
Amity,543528.8775,6969975.112,56,South,-27.392847561,153.440269732,0.99962339,0.202566
Amity,543524.2506,6969978.196,56,South,-27.392819867,153.440222825,0.99962338,0.202545
Amity,543550.6384,6969960.254,56,South,-27.392981001,153.440490358,0.99962341,0.202669
Amity,543549.1561,6969954.211,56,South,-27.393035604,153.440475581,0.99962341,0.202662
Amity,543547.2462,6969949.671,56,South,-27.393076651,153.440456427,0.99962341,0.202654
Amity,543545.5858,6969946.536,56,South,-27.393105006,153.440439745,0.99962341,0.202646
Amity,543543.877,6969943.534,56,South,-27.393132163,153.440422569,0.9996234,0.202639
Amity,543542.4821,6969939.658,56,South,-27.393167199,153.440408600,0.9996234,0.202633
Amity,543540.8682,6969936.267,56,South,-27.393197864,153.440392398,0.9996234,0.202625
Amity,543537.2134,6969932.889,56,South,-27.393228476,153.440355553,0.9996234,0.202609
Amity,543532.7103,6969930.63,56,South,-27.393249014,153.440310089,0.99962339,0.202588
Amity,543528.1482,6969929.573,56,South,-27.393258702,153.440263984,0.99962339,0.202567
Amity,543522.2333,6969928.935,56,South,-27.393264651,153.440204182,0.99962338,0.202539
Amity,543516.0551,6969928.919,56,South,-27.393264992,153.440141695,0.99962337,0.202510
Amity,543509.7632,6969929.716,56,South,-27.393257998,153.440078029,0.99962337,0.202481
Amity,543501.2519,6969932.944,56,South,-27.393229127,153.439991829,0.99962336,0.202441
Amity,543491.4162,6969936.456,56,South,-27.393197735,153.439892223,0.99962335,0.202395
Amity,543479.6898,6969937.287,56,South,-27.393190607,153.439773590,0.99962334,0.202340
Amity,543484.4414,6969944.174,56,South,-27.393128281,153.439821402,0.99962334,0.202362
Amity,543492.1551,6969953.506,56,South,-27.393043788,153.439899087,0.99962335,0.202397
Amity,543497.7073,6969959.22,56,South,-27.392992025,153.439955039,0.99962335,0.202423
Amity,543504.2492,6969966.931,56,South,-27.392922203,153.440020929,0.99962336,0.202452
Amity,543511.9339,6969976.88,56,South,-27.392832140,153.440098298,0.99962337,0.202487
Amity,543519.77,6969987.254,56,South,-27.392738236,153.440177183,0.99962338,0.202523
