point,east,north,zone,hemisphere,lat,lon,psf,grid_conv
Amity,NaN,NaN,56,South,nan,nan,nan,nan
Amity,543560.2016,6969912.143,56,South,-27.393415034,153.440588803,0.99962342,0.202717
Amity,543534.3746,6969930.649,56,South,-27.393248789,153.440326921,0.99962339,0.202595
Amity,543530.5467,6969933.361,56,South,-27.393224428,153.440288108,0.99962339,0.202577
Amity,543526.0679,6969936.4,56,South,-27.393197136,153.440242700,0.99962339,0.202556
Amity,543523.3431,6969938.181,56,South,-27.393181144,153.440215077,0.99962338,0.202544
Amity,543522.5639,6969939.191,56,South,-27.393172051,153.440207160,0.99962338,0.202540
Amity,543520.1773,6969940.838,56,South,-27.393157258,153.440182962,0.99962338,0.202529
Amity,543515.976,6969943.612,56,South,-27.393132349,153.440140370,0.99962337,0.202509
Amity,543511.5087,6969946.696,56,South,-27.393104650,153.440095077,0.99962337,0.202488
Amity,543506.4256,6969950.292,56,South,-27.393072348,153.440043537,0.99962336,0.202464
Amity,543533.972,6969930.272,56,South,-27.393252206,153.440322863,0.99962339,0.202594
Amity,543529.4948,6969932.203,56,South,-27.393234916,153.440277510,0.99962339,0.202573
Amity,543524.3608,6969934.77,56,South,-27.393211905,153.440225492,0.99962338,0.202549
Amity,543521.4052,6969936.64,56,South,-27.393195118,153.440195531,0.99962338,0.202535
Amity,543518.5592,6969937.753,56,South,-27.393185160,153.440166707,0.99962338,0.202521
Amity,543512.3851,6969940.494,56,South,-27.393160612,153.440104162,0.99962337,0.202492
Amity,543505.2768,6969943.389,56,South,-27.393134703,153.440032164,0.99962336,0.202459
Amity,543536.5782,6969932.184,56,South,-27.393234861,153.440349154,0.9996234,0.202606
Amity,543535.4617,6969938.851,56,South,-27.393174708,153.440337623,0.9996234,0.202600
Amity,543534.0606,6969948.344,56,South,-27.393089052,153.440323112,0.99962339,0.202593
Amity,543533.2043,6969954.656,56,South,-27.393032096,153.440314226,0.99962339,0.202588
Amity,543532.6526,6969958.282,56,South,-27.392999379,153.440308516,0.99962339,0.202585
Amity,543531.651,6969963.431,56,South,-27.392952926,153.440298202,0.99962339,0.202580
Amity,543531.0916,6969968.172,56,South,-27.392910143,153.440292374,0.99962339,0.202577
Amity,543529.5107,6969975.69,56,South,-27.392842323,153.440276116,0.99962339,0.202569
Amity,543538.0945,6969933.468,56,South,-27.393223221,153.440364444,0.9996234,0.202613
Amity,543539.2313,6969939.41,56,South,-27.393169542,153.440375729,0.9996234,0.202617
Amity,543540.6563,6969947.823,56,South,-27.393093545,153.440389841,0.9996234,0.202623
Amity,543542.2101,6969956.639,56,South,-27.393013906,153.440405241,0.9996234,0.202630
Amity,543543.6295,6969963.409,56,South,-27.392952742,153.440419355,0.9996234,0.202636
Amity,543544.9409,6969969.897,56,South,-27.392894128,153.440432387,0.99962341,0.202642
Amity,543545.4223,6969974.782,56,South,-27.392850012,153.440437081,0.99962341,0.202643
Amity,543546.7751,6969979.648,56,South,-27.392806039,153.440450590,0.99962341,0.202649
Amity,543547.159,6969984.446,56,South,-27.392762712,153.440454301,0.99962341,0.202651
Amity,543548.0655,6969992.06,56,South,-27.392693945,153.440463197,0.99962341,0.202654
Amity,543541.1054,6969936.89,56,South,-27.393192232,153.440394775,0.9996234,0.202626
Amity,543537.2836,6969939.703,56,South,-27.393166959,153.440356019,0.9996234,0.202608
Amity,543533.6641,6969942.142,56,South,-27.393145055,153.440319324,0.99962339,0.202591
Amity,543532.1781,6969943.244,56,South,-27.393135154,153.440304255,0.99962339,0.202584
Amity,543527.3387,6969946.678,56,South,-27.393104307,153.440255185,0.99962339,0.202561
Amity,543524.4016,6969950.032,56,South,-27.393074121,153.440225359,0.99962338,0.202548
Amity,543519.7116,6969953.536,56,South,-27.393042638,153.440177798,0.99962338,0.202525
Amity,543511.4544,6969958.551,56,South,-27.392997627,153.440094104,0.99962337,0.202487
Amity,543545.7624,6969946.413,56,South,-27.393106111,153.440441536,0.99962341,0.202647
Amity,543542.1968,6969948.51,56,South,-27.393087294,153.440405398,0.9996234,0.202630
Amity,543535.5795,6969953.048,56,South,-27.393046537,153.440338307,0.9996234,0.202599
Amity,543530.4489,6969955.915,56,South,-27.393020818,153.440286312,0.99962339,0.202575
Amity,543526.3701,6969958.15,56,South,-27.393000771,153.440244978,0.99962339,0.202556
Amity,543522.9257,6969960.245,56,South,-27.392981967,153.440210066,0.99962338,0.202540
Amity,543515.9118,6969964.686,56,South,-27.392942099,153.440138967,0.99962337,0.202507
Amity,543548.265,6969953.459,56,South,-27.393042421,153.440466596,0.99962341,0.202658
Amity,543544.0662,6969955.572,56,South,-27.393023480,153.440424052,0.9996234,0.202639
Amity,543539.6597,6969957.484,56,South,-27.393006359,153.440379416,0.9996234,0.202618
Amity,543535.5361,6969959.459,56,South,-27.392988661,153.440337638,0.9996234,0.202599
